wfood;wfuel;wcloth;wacl;wtrans;wother;totexp;income;age;nk;food;fuel;cloth;alc;trans;other
0.3762;0.0819;0.1533;0.0179;0.0665;0.3043;70;120;48;2;26.334;5.733;10.731;1.253;4.655;21.301
0.3412;0.1531;0.0369;0.0167;0.2184;0.2337;60;100;31;1;20.472;9.186;2.214;1.002;13.104;14.022
0.481;0.0789;0.1174;0.0129;0.0914;0.2184;100;160;55;1;48.1;7.89;11.74;1.29;9.14;21.84
0.5358;0.0531;0.0935;0.0361;0;0.2815;60;160;30;2;32.148;3.186;5.61;2.166;0;16.89
0.3227;0.1036;0.0128;0.1774;0.2076;0.176;90;80;27;2;29.043;9.324;1.152;15.966;18.684;15.84
0.4738;0.1659;0;0;0.254;0.1063;40;90;43;1;18.952;6.636;0;0;10.16;4.252
0.3529;0.0671;0.1243;0.0461;0;0.4096;60;90;35;2;21.174;4.026;7.458;2.766;0;24.576
0.4066;0.1631;0.0673;0.0034;0.1327;0.2268;70;150;37;2;28.462;11.417;4.711;0.238;9.289;15.876
0.1704;0.0329;0.2385;0.2147;0.1154;0.2282;190;130;25;2;32.376;6.251;45.315;40.793;21.926;43.358
0.5611;0.1583;0;0.0997;0.0131;0.1677;40;80;50;1;22.444;6.332;0;3.988;0.524;6.708
0.4024;0.0943;0.009;0.1366;0.1719;0.1857;70;100;39;1;28.168;6.601;0.63;9.562;12.033;12.999
0.3764;0.0503;0.0612;0.1369;0.1459;0.2292;100;90;44;2;37.64;5.03;6.12;13.69;14.59;22.92
0.2423;0.0644;0.0395;0.013;0.4396;0.2012;110;110;41;2;26.653;7.084;4.345;1.43;48.356;22.132
0.4081;0.0536;0.1426;0.1239;0.0668;0.2049;130;180;30;2;53.053;6.968;18.538;16.107;8.684;26.637
0.388;0.1112;0.1055;0.1044;0.1177;0.1731;70;120;34;2;27.16;7.784;7.385;7.308;8.239;12.117
0.3655;0.1129;0.1012;0;0.2681;0.1523;110;190;33;1;40.205;12.419;11.132;0;29.491;16.753
0.3862;0.065;0.2756;0.0164;0.1139;0.1429;110;100;39;1;42.482;7.15;30.316;1.804;12.529;15.719
0.2942;0.0688;0.055;0.1632;0.2485;0.1703;80;150;43;1;23.536;5.504;4.4;13.056;19.88;13.624
0.4118;0.1429;0.0542;0.0814;0.1215;0.1882;60;80;43;1;24.708;8.574;3.252;4.884;7.29;11.292
0.1976;0.1641;0.1584;0.0289;0.3735;0.0774;80;110;34;1;15.808;13.128;12.672;2.312;29.88;6.192
0.2167;0.1373;0.1196;0.0142;0.2133;0.299;100;140;38;1;21.67;13.73;11.96;1.42;21.33;29.9
0.1803;0.0719;0.1759;0.0147;0.039;0.5182;150;140;43;2;27.045;10.785;26.385;2.205;5.85;77.73
0.6184;0.1244;0;0.1029;0.0063;0.148;70;90;29;1;43.288;8.708;0;7.203;0.441;10.36
0.2957;0.101;0.0483;0.0202;0.2939;0.241;150;140;32;2;44.355;15.15;7.245;3.03;44.085;36.15
0.3868;0.0503;0.1092;0.2126;0.094;0.147;90;180;44;1;34.812;4.527;9.828;19.134;8.46;13.23
0.3422;0.1082;0.0317;0;0.3031;0.2149;70;140;31;2;23.954;7.574;2.219;0;21.217;15.043
0.4151;0.0506;0.0253;0.0657;0.1454;0.2979;90;100;37;2;37.359;4.554;2.277;5.913;13.086;26.811
0.2723;0.0925;0.12;0.1573;0.1401;0.2178;100;150;35;2;27.23;9.25;12;15.73;14.01;21.78
0.2055;0.0973;0.0497;0.0684;0.4239;0.1552;160;180;30;1;32.88;15.568;7.952;10.944;67.824;24.832
0.1528;0.4347;0.003;0.0264;0.0471;0.336;150;260;27;2;22.92;65.205;0.45;3.96;7.065;50.4
0.2608;0.0395;0.2278;0.0095;0.0611;0.4013;100;100;24;2;26.08;3.95;22.78;0.95;6.11;40.13
0.3067;0.0856;0.1715;0.0347;0.0817;0.3197;120;160;31;2;36.804;10.272;20.58;4.164;9.804;38.364
0.2899;0.2136;0.0787;0.0213;0.1054;0.291;60;100;24;1;17.394;12.816;4.722;1.278;6.324;17.46
0.5925;0.1267;0;0.1024;0;0.1784;40;60;49;2;23.7;5.068;0;4.096;0;7.136
0.3692;0.0782;0.0805;0.0602;0.1312;0.2807;80;160;28;1;29.536;6.256;6.44;4.816;10.496;22.456
0.246;0.0834;0.1438;0.0663;0.16;0.3005;100;140;37;1;24.6;8.34;14.38;6.63;16;30.05
0.3976;0.1932;0.0992;0;0.1134;0.1966;80;100;40;2;31.808;15.456;7.936;0;9.072;15.728
0.3399;0.0954;0.1458;0.0907;0.0979;0.2302;90;160;25;2;30.591;8.586;13.122;8.163;8.811;20.718
0.2668;0.1005;0.0451;0.0461;0.2821;0.2594;110;130;43;1;29.348;11.055;4.961;5.071;31.031;28.534
0.5079;0.1006;0.0791;0.0581;0.1504;0.104;70;110;31;2;35.553;7.042;5.537;4.067;10.528;7.28
0.3389;0.1148;0.0769;0.136;0.1368;0.1967;90;100;36;2;30.501;10.332;6.921;12.24;12.312;17.703
0.3986;0.2007;0;0;0.2188;0.1818;50;100;22;2;19.93;10.035;0;0;10.94;9.09
0.3601;0.0597;0.0861;0.0078;0.0866;0.3997;120;180;37;1;43.212;7.164;10.332;0.936;10.392;47.964
0.4083;0.0972;0.0032;0.0742;0.1195;0.2977;80;180;42;1;32.664;7.776;0.256;5.936;9.56;23.816
0.3177;0.1257;0.1735;0;0.2212;0.1619;70;100;37;2;22.239;8.799;12.145;0;15.484;11.333
0.2243;0.0904;0.0907;0.0333;0.13;0.4314;150;170;51;2;33.645;13.56;13.605;4.995;19.5;64.71
0.589;0.0813;0.04;0.0079;0.0992;0.1824;100;170;39;2;58.9;8.13;4;0.79;9.92;18.24
0.3631;0.1877;0.1325;0.0622;0.1362;0.1184;70;130;38;2;25.417;13.139;9.275;4.354;9.534;8.288
0.3653;0.1436;0.0332;0.142;0.1209;0.195;60;120;36;1;21.918;8.616;1.992;8.52;7.254;11.7
0.266;0.0889;0.0839;0.0067;0.0493;0.5052;130;140;34;2;34.58;11.557;10.907;0.871;6.409;65.676
0.2549;0.0877;0.1406;0.2351;0.0533;0.2285;190;290;38;2;48.431;16.663;26.714;44.669;10.127;43.415
0.4558;0.0537;0.2199;0.016;0.0716;0.1832;90;120;44;2;41.022;4.833;19.791;1.44;6.444;16.488
0.2926;0.0668;0.1409;0.1132;0.1111;0.2754;100;150;29;1;29.26;6.68;14.09;11.32;11.11;27.54
0.3027;0.109;0.0365;0.0363;0.2497;0.2658;90;120;41;2;27.243;9.81;3.285;3.267;22.473;23.922
0.3956;0.1256;0.0499;0;0.2474;0.1816;70;90;41;1;27.692;8.792;3.493;0;17.318;12.712
0.43;0.1299;0.254;0.0025;0.0054;0.1782;70;90;32;2;30.1;9.093;17.78;0.175;0.378;12.474
0.3398;0.1439;0.0054;0.02;0.2983;0.1927;60;100;29;1;20.388;8.634;0.324;1.2;17.898;11.562
0.323;0.0907;0.0459;0.0782;0.3213;0.1409;60;100;30;1;19.38;5.442;2.754;4.692;19.278;8.454
0.3591;0.0752;0.2309;0.092;0.1467;0.096;110;170;35;2;39.501;8.272;25.399;10.12;16.137;10.56
0.5934;0.0855;0.0039;0.0251;0.1019;0.1902;70;90;54;1;41.538;5.985;0.273;1.757;7.133;13.314
0.3603;0.1902;0.0558;0;0.1802;0.2135;60;110;25;1;21.618;11.412;3.348;0;10.812;12.81
0.3594;0.0701;0.0306;0.1736;0.1378;0.2285;120;190;43;1;43.128;8.412;3.672;20.832;16.536;27.42
0.3454;0.1214;0.0241;0;0.1167;0.3924;90;30;37;2;31.086;10.926;2.169;0;10.503;35.316
0.3599;0.0929;0.0074;0.1086;0.0813;0.35;70;90;40;1;25.193;6.503;0.518;7.602;5.691;24.5
0.4153;0.1522;0.0247;0;0.1406;0.2672;80;120;30;2;33.224;12.176;1.976;0;11.248;21.376
0.3472;0.1304;0.0255;0;0.0615;0.4354;70;100;35;1;24.304;9.128;1.785;0;4.305;30.478
0.4277;0.108;0.0739;0;0.1432;0.2471;50;90;25;2;21.385;5.4;3.695;0;7.16;12.355
0.5257;0.0678;0.0278;0.0587;0.2009;0.1192;80;140;57;2;42.056;5.424;2.224;4.696;16.072;9.536
0.3569;0.0837;0.1066;0.1212;0.0913;0.2402;90;80;32;2;32.121;7.533;9.594;10.908;8.217;21.618
0.579;0.0357;0.0036;0.2092;0.0686;0.1039;80;70;53;1;46.32;2.856;0.288;16.736;5.488;8.312
0.3392;0.0442;0.2119;0.1259;0.0937;0.185;100;120;27;2;33.92;4.42;21.19;12.59;9.37;18.5
0.2691;0.138;0.1293;0.0304;0.0839;0.3493;90;100;31;2;24.219;12.42;11.637;2.736;7.551;31.437
0.4022;0.0866;0.1089;0.0884;0.1749;0.1389;100;110;40;1;40.22;8.66;10.89;8.84;17.49;13.89
0.4398;0.0835;0.0316;0;0.0408;0.4043;100;110;55;1;43.98;8.35;3.16;0;4.08;40.43
0.3427;0.0962;0.0332;0.1488;0.087;0.2922;100;140;36;2;34.27;9.62;3.32;14.88;8.7;29.22
0.3085;0.1018;0.0735;0.0282;0.1982;0.2899;80;130;32;1;24.68;8.144;5.88;2.256;15.856;23.192
0.3808;0.1821;0.171;0.0775;0.0115;0.1772;60;70;33;2;22.848;10.926;10.26;4.65;0.69;10.632
0.1811;0.1137;0.0957;0.0231;0.5096;0.0768;110;130;38;1;19.921;12.507;10.527;2.541;56.056;8.448
0.1105;0.1295;0.2256;0.0696;0.1763;0.2885;70;130;31;1;7.735;9.065;15.792;4.872;12.341;20.195
0.2841;0.0699;0.1929;0.0206;0.1363;0.2962;130;160;35;1;36.933;9.087;25.077;2.678;17.719;38.506
0.2443;0.1289;0.031;0.0603;0.308;0.2274;50;60;32;1;12.215;6.445;1.55;3.015;15.4;11.37
0.3611;0.1299;0.0058;0.0275;0.2563;0.2194;100;180;42;2;36.11;12.99;0.58;2.75;25.63;21.94
0.1965;0.192;0.099;0.1915;0.1103;0.2109;90;30;34;1;17.685;17.28;8.91;17.235;9.927;18.981
0.4904;0.0504;0.0215;0.0266;0.2576;0.1534;60;130;36;2;29.424;3.024;1.29;1.596;15.456;9.204
0.0652;0.0225;0.067;0.0456;0.1165;0.6833;290;170;32;1;18.908;6.525;19.43;13.224;33.785;198.157
0.2948;0.249;0.0185;0;0.2608;0.1769;50;100;28;1;14.74;12.45;0.925;0;13.04;8.845
0.332;0.039;0.008;0.1475;0.1339;0.3397;190;510;35;1;63.08;7.41;1.52;28.025;25.441;64.543
0.443;0.1747;0.1803;0.0133;0.0482;0.1407;60;130;44;2;26.58;10.482;10.818;0.798;2.892;8.442
0.4557;0.2511;0.089;0.0352;0.0453;0.1238;50;70;28;1;22.785;12.555;4.45;1.76;2.265;6.19
0.4041;0.0816;0.0624;0.1057;0.1684;0.1777;50;90;38;2;20.205;4.08;3.12;5.285;8.42;8.885
0.3828;0.112;0.0039;0.0945;0.0697;0.3371;60;80;32;2;22.968;6.72;0.234;5.67;4.182;20.226
0.4461;0.1041;0.0931;0;0.0092;0.3475;110;100;32;2;49.071;11.451;10.241;0;1.012;38.225
0.3396;0.0547;0.2183;0.0483;0.1624;0.1767;80;90;27;2;27.168;4.376;17.464;3.864;12.992;14.136
0.3824;0.0927;0.0143;0.1223;0.201;0.1873;70;80;35;2;26.768;6.489;1.001;8.561;14.07;13.111
0.3482;0.1161;0.0345;0.0412;0.3479;0.1121;140;150;32;2;48.748;16.254;4.83;5.768;48.706;15.694
0.4756;0.1928;0.0671;0.0575;0;0.2069;50;120;29;1;23.78;9.64;3.355;2.875;0;10.345
0.3522;0.0436;0.3472;0.0364;0.0634;0.1573;120;130;50;2;42.264;5.232;41.664;4.368;7.608;18.876
0.3152;0.1649;0.1578;0.0873;0.082;0.1928;50;60;37;1;15.76;8.245;7.89;4.365;4.1;9.64
0.3531;0.04;0.2345;0.1798;0.0209;0.1717;80;90;34;2;28.248;3.2;18.76;14.384;1.672;13.736
0.3299;0.1241;0.1626;0.0475;0.1339;0.2021;90;130;27;1;29.691;11.169;14.634;4.275;12.051;18.189
0.3935;0.1028;0.0958;0.0373;0.2484;0.1222;90;110;45;1;35.415;9.252;8.622;3.357;22.356;10.998
0.2736;0.0835;0.2317;0.0648;0.1329;0.2135;60;60;28;1;16.416;5.01;13.902;3.888;7.974;12.81
0.3898;0.152;0.0051;0.0248;0.2103;0.2179;60;110;30;2;23.388;9.12;0.306;1.488;12.618;13.074
0.3488;0.0859;0.0097;0.1823;0.157;0.2163;90;190;55;1;31.392;7.731;0.873;16.407;14.13;19.467
0.5098;0.163;0.105;0;0.0354;0.1868;50;100;26;2;25.49;8.15;5.25;0;1.77;9.34
0.594;0.1085;0.0076;0.0759;0.0582;0.1559;90;120;45;2;53.46;9.765;0.684;6.831;5.238;14.031
0.4356;0.1564;0;0;0.0771;0.3308;40;90;30;2;17.424;6.256;0;0;3.084;13.232
0.4385;0.1181;0.0503;0.0521;0.1039;0.2371;50;70;24;2;21.925;5.905;2.515;2.605;5.195;11.855
0.2708;0.1246;0.1922;0.0716;0.1028;0.2379;70;100;30;2;18.956;8.722;13.454;5.012;7.196;16.653
0.3593;0.1177;0.1527;0.063;0.1721;0.1351;100;170;41;2;35.93;11.77;15.27;6.3;17.21;13.51
0.3326;0.2484;0.0946;0;0.0103;0.314;50;140;26;2;16.63;12.42;4.73;0;0.515;15.7
0.3677;0.0398;0.3358;0.0996;0.0231;0.134;90;130;38;1;33.093;3.582;30.222;8.964;2.079;12.06
0.4268;0.0808;0.041;0.0249;0.1603;0.2662;70;70;30;2;29.876;5.656;2.87;1.743;11.221;18.634
0.3489;0.1054;0.0501;0.023;0.145;0.3276;110;190;54;2;38.379;11.594;5.511;2.53;15.95;36.036
0.2919;0.1137;0.3022;0;0.1367;0.1554;120;310;39;2;35.028;13.644;36.264;0;16.404;18.648
0.3352;0.1359;0.2068;0.0529;0.1094;0.1598;70;120;31;1;23.464;9.513;14.476;3.703;7.658;11.186
0.2928;0.0792;0.2739;0.0856;0.1455;0.123;80;100;25;1;23.424;6.336;21.912;6.848;11.64;9.84
0.3324;0.0764;0.1492;0.0592;0.1056;0.2773;110;110;57;1;36.564;8.404;16.412;6.512;11.616;30.503
0.423;0.1269;0.127;0.0652;0.0005;0.2574;70;60;25;1;29.61;8.883;8.89;4.564;0.035;18.018
0.4254;0.069;0.1206;0.1247;0.007;0.2533;110;340;39;2;46.794;7.59;13.266;13.717;0.77;27.863
0.3877;0.1186;0.0407;0;0.1945;0.2585;70;110;41;1;27.139;8.302;2.849;0;13.615;18.095
0.329;0.1175;0.0987;0;0;0.4548;60;80;26;2;19.74;7.05;5.922;0;0;27.288
0.482;0.0718;0.098;0.0222;0.1714;0.1547;80;150;49;2;38.56;5.744;7.84;1.776;13.712;12.376
0.1496;0.2601;0.2278;0.0187;0.0717;0.272;60;120;36;2;8.976;15.606;13.668;1.122;4.302;16.32
0.2524;0.063;0.4057;0;0.1166;0.1623;160;150;54;2;40.384;10.08;64.912;0;18.656;25.968
0.4303;0.1031;0.0283;0.0586;0.141;0.2387;70;110;33;1;30.121;7.217;1.981;4.102;9.87;16.709
0.3269;0.0562;0.2279;0.1548;0.0978;0.1364;90;130;33;1;29.421;5.058;20.511;13.932;8.802;12.276
0.2305;0.0348;0.0022;0.1654;0.1002;0.4668;110;160;56;1;25.355;3.828;0.242;18.194;11.022;51.348
0.5143;0.0459;0.0021;0.0472;0.0113;0.3792;50;80;30;2;25.715;2.295;0.105;2.36;0.565;18.96
0.485;0.0551;0.1774;0.0857;0.0552;0.1416;90;100;22;1;43.65;4.959;15.966;7.713;4.968;12.744
0.4371;0.0262;0.0897;0.1718;0.0369;0.2383;70;140;20;1;30.597;1.834;6.279;12.026;2.583;16.681
0.2861;0.2675;0.1733;0;0.127;0.1461;70;70;57;1;20.027;18.725;12.131;0;8.89;10.227
0.4239;0.04;0.0281;0;0.1684;0.3396;70;100;25;1;29.673;2.8;1.967;0;11.788;23.772
0.1944;0.0878;0.0785;0.0176;0.4701;0.1516;110;120;36;2;21.384;9.658;8.635;1.936;51.711;16.676
0.3101;0.1136;0.0264;0.1229;0.0498;0.3772;80;100;40;2;24.808;9.088;2.112;9.832;3.984;30.176
0.491;0.1059;0.0816;0.0491;0.0497;0.2226;80;100;29;1;39.28;8.472;6.528;3.928;3.976;17.808
0.2305;0.1478;0.1732;0;0.09;0.3584;80;120;34;2;18.44;11.824;13.856;0;7.2;28.672
0.5644;0.0645;0.2212;0;0.0038;0.1462;80;60;22;1;45.152;5.16;17.696;0;0.304;11.696
0.2951;0.1391;0.1285;0.0312;0.1319;0.2741;100;160;44;1;29.51;13.91;12.85;3.12;13.19;27.41
0.5477;0.1168;0;0.0718;0.1289;0.1348;50;140;60;1;27.385;5.84;0;3.59;6.445;6.74
0.2691;0.067;0.1788;0;0.2111;0.2741;50;90;35;1;13.455;3.35;8.94;0;10.555;13.705
0.2352;0.0429;0.334;0.0074;0.2293;0.1512;120;180;36;1;28.224;5.148;40.08;0.888;27.516;18.144
0.5765;0.1224;0.0401;0.0773;0.0512;0.1325;70;320;40;2;40.355;8.568;2.807;5.411;3.584;9.275
0.1386;0.0498;0.0196;0.0348;0.5481;0.209;190;160;32;1;26.334;9.462;3.724;6.612;104.139;39.71
0.4069;0.0752;0.1217;0.0449;0.1411;0.2101;100;130;38;2;40.69;7.52;12.17;4.49;14.11;21.01
0.5294;0.0657;0.1516;0.0349;0.1656;0.0528;100;90;33;2;52.94;6.57;15.16;3.49;16.56;5.28
0.4601;0.1195;0.0105;0.1466;0.0653;0.1981;70;100;45;1;32.207;8.365;0.735;10.262;4.571;13.867
0.554;0.1042;0.0556;0.027;0.1085;0.1507;40;120;25;1;22.16;4.168;2.224;1.08;4.34;6.028
0.2694;0.0569;0.1451;0.1778;0.0745;0.2763;150;130;34;2;40.41;8.535;21.765;26.67;11.175;41.445
0.5394;0.1077;0.0482;0.0038;0.0738;0.2271;60;100;40;2;32.364;6.462;2.892;0.228;4.428;13.626
0.5044;0.1047;0.0395;0.0928;0.0442;0.2143;50;90;36;1;25.22;5.235;1.975;4.64;2.21;10.715
0.4057;0.1036;0.0693;0.1173;0.1715;0.1326;60;80;22;1;24.342;6.216;4.158;7.038;10.29;7.956
0.1686;0.042;0.0069;0.0191;0.6373;0.126;80;100;35;1;13.488;3.36;0.552;1.528;50.984;10.08
0.3623;0.103;0.0856;0.1369;0.1345;0.1778;90;150;25;1;32.607;9.27;7.704;12.321;12.105;16.002
0.353;0.0745;0.1761;0.0209;0.1199;0.2555;100;130;34;2;35.3;7.45;17.61;2.09;11.99;25.55
0.2026;0.0401;0.1004;0.0152;0.5392;0.1024;250;150;35;2;50.65;10.025;25.1;3.8;134.8;25.6
0.3108;0.0732;0.2709;0.0606;0.1354;0.1491;100;180;42;2;31.08;7.32;27.09;6.06;13.54;14.91
0.3707;0.1461;0.1397;0.0111;0.1303;0.2021;70;250;34;1;25.949;10.227;9.779;0.777;9.121;14.147
0.1683;0.1548;0.0804;0;0.2175;0.379;70;200;41;2;11.781;10.836;5.628;0;15.225;26.53
0.2466;0.094;0.1061;0.0656;0.2011;0.2867;70;110;38;2;17.262;6.58;7.427;4.592;14.077;20.069
0.1925;0.082;0.2733;0.0285;0.1814;0.2422;150;180;35;2;28.875;12.3;40.995;4.275;27.21;36.33
0.3583;0.1455;0.2905;0.0099;0.0027;0.1929;80;160;39;1;28.664;11.64;23.24;0.792;0.216;15.432
0.3359;0.0597;0.2035;0.1983;0;0.2026;80;100;35;2;26.872;4.776;16.28;15.864;0;16.208
0.4535;0.0245;0.1251;0.0469;0.0519;0.298;90;80;40;2;40.815;2.205;11.259;4.221;4.671;26.82
0.4845;0.0587;0.1241;0.0202;0.0822;0.2304;110;170;42;2;53.295;6.457;13.651;2.222;9.042;25.344
0.4577;0.0791;0.0981;0;0.1133;0.2518;50;30;53;1;22.885;3.955;4.905;0;5.665;12.59
0.4242;0.1019;0.0085;0.0652;0.056;0.3441;50;100;24;1;21.21;5.095;0.425;3.26;2.8;17.205
0.2974;0.1075;0.1777;0.0656;0.1171;0.2347;90;100;30;2;26.766;9.675;15.993;5.904;10.539;21.123
0.2908;0.0543;0.164;0.0477;0.1871;0.2561;110;110;27;1;31.988;5.973;18.04;5.247;20.581;28.171
0.4308;0.118;0;0.0067;0.1853;0.2591;50;90;54;2;21.54;5.9;0;0.335;9.265;12.955
0.2635;0.0748;0.1037;0.1538;0.1111;0.293;90;130;40;2;23.715;6.732;9.333;13.842;9.999;26.37
0.2914;0.0648;0.0275;0.0737;0.1276;0.415;130;150;36;2;37.882;8.424;3.575;9.581;16.588;53.95
0.3219;0.1062;0.0308;0.019;0.2595;0.2627;80;120;35;2;25.752;8.496;2.464;1.52;20.76;21.016
0.3179;0.0718;0.0495;0.0212;0.0916;0.448;110;170;44;2;34.969;7.898;5.445;2.332;10.076;49.28
0.3658;0.0803;0.0879;0.1178;0.1667;0.1815;60;140;60;1;21.948;4.818;5.274;7.068;10.002;10.89
0.4193;0.1095;0.0436;0.04;0.0548;0.3327;90;140;28;2;37.737;9.855;3.924;3.6;4.932;29.943
0.3322;0.1124;0.2345;0.0305;0.1068;0.1836;110;130;39;2;36.542;12.364;25.795;3.355;11.748;20.196
0.2755;0.1272;0.2118;0;0.2717;0.1137;70;110;48;1;19.285;8.904;14.826;0;19.019;7.959
0.3995;0.0717;0.1671;0.1148;0.044;0.2029;100;100;38;2;39.95;7.17;16.71;11.48;4.4;20.29
0.4412;0.0919;0.043;0.039;0.1124;0.2725;80;120;38;2;35.296;7.352;3.44;3.12;8.992;21.8
0.2167;0.1859;0;0.0537;0.0163;0.5274;90;210;42;2;19.503;16.731;0;4.833;1.467;47.466
0.468;0.1191;0.0094;0.0244;0.0838;0.2953;100;90;44;2;46.8;11.91;0.94;2.44;8.38;29.53
0.4914;0.057;0.0899;0.0586;0.106;0.1971;80;90;53;2;39.312;4.56;7.192;4.688;8.48;15.768
0.3053;0.0784;0.1994;0.02;0.2844;0.1125;70;60;30;2;21.371;5.488;13.958;1.4;19.908;7.875
0.323;0.0891;0.0878;0.1258;0.0912;0.2831;100;120;30;2;32.3;8.91;8.78;12.58;9.12;28.31
0.4124;0.1031;0.01;0.0154;0.0302;0.4288;70;110;34;2;28.868;7.217;0.7;1.078;2.114;30.016
0.4983;0.1102;0.0035;0.068;0.1687;0.1513;60;80;57;1;29.898;6.612;0.21;4.08;10.122;9.078
0.486;0.0638;0.032;0;0.0832;0.3351;70;90;59;2;34.02;4.466;2.24;0;5.824;23.457
0.2906;0.0495;0.1326;0.0848;0.2262;0.2163;80;150;36;1;23.248;3.96;10.608;6.784;18.096;17.304
0.3834;0.0873;0.0131;0.1287;0.0993;0.2882;80;130;42;1;30.672;6.984;1.048;10.296;7.944;23.056
0.4949;0.244;0.0744;0;0.0375;0.1493;60;90;32;1;29.694;14.64;4.464;0;2.25;8.958
0.3092;0.1219;0.0705;0;0.1003;0.3982;50;110;36;1;15.46;6.095;3.525;0;5.015;19.91
0.3324;0.0561;0.1424;0.0686;0.0786;0.322;100;130;20;2;33.24;5.61;14.24;6.86;7.86;32.2
0.2919;0.0604;0.2661;0.1162;0.0487;0.2168;120;160;38;1;35.028;7.248;31.932;13.944;5.844;26.016
0.395;0.0382;0.1269;0.0719;0.2244;0.1437;120;160;34;2;47.4;4.584;15.228;8.628;26.928;17.244
0.4426;0.1362;0.0039;0.0475;0.1647;0.2052;70;110;32;2;30.982;9.534;0.273;3.325;11.529;14.364
0.3548;0.0544;0.1201;0.165;0.1774;0.1284;80;180;42;1;28.384;4.352;9.608;13.2;14.192;10.272
0.3749;0.0976;0.0108;0.014;0.0476;0.4552;70;100;37;2;26.243;6.832;0.756;0.98;3.332;31.864
0.4992;0.1581;0.0389;0.0208;0.0833;0.1997;50;90;54;1;24.96;7.905;1.945;1.04;4.165;9.985
0.4575;0.0466;0.0892;0.0723;0.1297;0.2049;90;100;37;2;41.175;4.194;8.028;6.507;11.673;18.441
0.5408;0.0701;0.033;0;0.0303;0.3258;50;80;32;1;27.04;3.505;1.65;0;1.515;16.29
0.4072;0.0795;0.0295;0.0113;0.1649;0.3075;80;60;28;2;32.576;6.36;2.36;0.904;13.192;24.6
0.45;0.0563;0.0517;0.0997;0.0319;0.3104;70;160;30;2;31.5;3.941;3.619;6.979;2.233;21.728
0.3413;0.0814;0.0498;0.0447;0.1796;0.3032;120;140;39;2;40.956;9.768;5.976;5.364;21.552;36.384
0.4418;0.1401;0.0542;0;0.1539;0.2099;60;60;41;2;26.508;8.406;3.252;0;9.234;12.594
0.3266;0.0574;0.069;0;0.0263;0.5206;80;70;41;1;26.128;4.592;5.52;0;2.104;41.648
0.3844;0.087;0.307;0.024;0.0316;0.1659;130;170;38;2;49.972;11.31;39.91;3.12;4.108;21.567
0.3728;0.1362;0.1726;0;0.066;0.2524;70;120;41;1;26.096;9.534;12.082;0;4.62;17.668
0.251;0.0555;0.1367;0.2106;0.0946;0.2517;70;120;25;1;17.57;3.885;9.569;14.742;6.622;17.619
0.2315;0.0355;0.1939;0;0.1599;0.3792;70;110;46;1;16.205;2.485;13.573;0;11.193;26.544
0.3956;0.031;0.1939;0;0.0565;0.323;80;100;39;2;31.648;2.48;15.512;0;4.52;25.84
0.4211;0.1082;0.0145;0.0256;0.0982;0.3323;140;220;35;2;58.954;15.148;2.03;3.584;13.748;46.522
0.2742;0.1893;0.3252;0.0048;0.1306;0.0758;110;80;39;1;30.162;20.823;35.772;0.528;14.366;8.338
0.1889;0.0439;0.0241;0.0216;0.0817;0.6398;140;120;28;2;26.446;6.146;3.374;3.024;11.438;89.572
0.4803;0.143;0.055;0.0057;0.1561;0.1598;60;110;31;2;28.818;8.58;3.3;0.342;9.366;9.588
0.5072;0.1064;0.0287;0.0374;0.1665;0.1538;50;110;34;2;25.36;5.32;1.435;1.87;8.325;7.69
0.4627;0.0973;0.0651;0.099;0.155;0.1209;80;160;34;2;37.016;7.784;5.208;7.92;12.4;9.672
0.1869;0.3529;0.0393;0;0;0.4209;130;1110;50;1;24.297;45.877;5.109;0;0;54.717
0.1194;0.0608;0.1118;0.0506;0.0097;0.6477;270;300;41;1;32.238;16.416;30.186;13.662;2.619;174.879
0.478;0.1081;0.0328;0.0067;0.1616;0.2129;80;120;35;2;38.24;8.648;2.624;0.536;12.928;17.032
0.2401;0.0341;0.137;0.2277;0.1966;0.1645;110;130;33;1;26.411;3.751;15.07;25.047;21.626;18.095
0.3369;0.0719;0.2926;0.0342;0.1557;0.1087;120;120;37;2;40.428;8.628;35.112;4.104;18.684;13.044
0.3611;0.0947;0.1177;0.0879;0.1673;0.1712;110;150;43;1;39.721;10.417;12.947;9.669;18.403;18.832
0.402;0.1054;0.0234;0.0292;0.196;0.244;80;90;27;1;32.16;8.432;1.872;2.336;15.68;19.52
0.3111;0.081;0.066;0.2067;0.0444;0.2908;80;190;55;1;24.888;6.48;5.28;16.536;3.552;23.264
0.2689;0.0789;0.2948;0;0.1036;0.2538;100;80;60;1;26.89;7.89;29.48;0;10.36;25.38
0.1158;0.0443;0.1543;0.0213;0.1239;0.5404;200;90;25;1;23.16;8.86;30.86;4.26;24.78;108.08
0.2544;0.0347;0.3283;0.1237;0.0758;0.183;150;170;49;2;38.16;5.205;49.245;18.555;11.37;27.45
0.4369;0.0967;0;0.0861;0.096;0.2844;70;20;37;2;30.583;6.769;0;6.027;6.72;19.908
0.5553;0.0574;0.0544;0.0524;0.047;0.2335;60;120;24;1;33.318;3.444;3.264;3.144;2.82;14.01
0.1507;0.0108;0.0075;0.1291;0.0005;0.7014;190;130;38;2;28.633;2.052;1.425;24.529;0.095;133.266
0.4968;0.2057;0;0;0.1193;0.1782;60;110;38;1;29.808;12.342;0;0;7.158;10.692
