countryid;country;cntry_code;year;aidcap;raidcap;infmort;infmort_2;pop;raid;civlib;polright;civil_polrts;goveff;regqual;rgdpcap1;rgdpcap;rgdcap_2;popmil;popmil_2;deflator;y1;y2;y3
56;Hungary;55;2000;25.15662;25.15662;9;81;10024000;252.1699589;2;1;3;0.78;1.12;4656.88348;13344;178062336;10024;100.480576;1;0;1;0
56;Hungary;55;2003;24.52113;23.16487366;8;64;10128000;234.6138404;2;1;3;0.74;1.2;7721.382514;14553;211789809;10128;102.576384;0.9446903;0;0;1
57;India;56;1995;1.866024;2.026263586;74;5476;932180000;1888.84239;4;4;8;-0.14;-0.09;413.7197777;1995;3980025;932.18;868959.5524;1.0858722;1;0;0
57;India;56;2000;1.461932;1.461932;68;4624;1015923000;1485.210343;3;2;5;-0.07;-0.17;450.2082343;2416;5837056;1015923;1032099.541929;1;0;1;0
57;India;56;2003;0.8852323;0.836270367;63;3969;1064399000;890.1253424;3;2;5;-0.07;-0.47;533.086113;2733;7469289;1064399;1132945.231201;0.9446903;0;0;1
58;Indonesia;57;1995;6.762646;7.34336929;46;2116;192750000;1415.434431;6;7;13;0.18;0.27;1138.726431;3011;9066121;192.75;37152.5625;1.0858722;1;0;0
58;Indonesia;57;2000;8.037186;8.037186;35;1225;206265000;1657.79017;4;3;7;-0.4;-0.34;800.0412091;3028;9168784;206265;42545.250225;1;0;1;0
58;Indonesia;57;2003;8.121564;7.672362732;31;961;214674200;1647.056797;4;3;7;-0.46;-0.54;1049.648017;3213;10323369;214674;46084.926276;0.9446903;0;0;1
59;Iran, Islamic Rep.;58;1995;3.245581;3.524286181;43;1849;58954000;207.7707675;7;6;13;-0.3;-1.62;1754.394944;5295;28037025;58954;3475.574116;1.0858722;1;0;0
59;Iran, Islamic Rep.;58;2000;2.043855;2.043855;36;1296;63664000;130.1199847;6;6;12;-0.17;-1.29;1511.198951;5576;31091776;63664;4053.104896;1;0;1;0
59;Iran, Islamic Rep.;58;2003;2.004307;1.893449381;33;1089;66392020;125.7098913;6;6;12;-0.56;-1.28;1951.414087;6608;43665664;66392;4407.897664;0.9446903;0;0;1
60;Israel;59;1995;60.55185;65.75157057;7;49;5545000;364.5924588;3;1;4;1.32;1.24;17540.20429;21336;455224896;5545;30.747025;1.0858722;1;0;0
60;Israel;59;2000;127.2062;127.2062;6;36;6289000;799.9997918;3;1;4;1.02;0.95;18357.78343;23805;566678025;6289;39.551521;1;0;1;0
60;Israel;59;2003;65.78798;62.14926656;5;25;6688000;415.6542948;3;1;4;1.03;0.85;15569.70526;21853;477553609;6688;44.729344;0.9446903;0;0;1
61;Jamaica;60;1995;43.72984;47.48501757;17;289;2480000;117.7628436;3;2;5;-0.41;0.54;2538.002525;3736;13957696;2.48;6.1504;1.0858722;1;0;0
61;Jamaica;60;2000;3.868217;3.868217;17;289;2580000;9.97999986;2;2;4;-0.19;0.41;2873.605814;3395;11526025;2.58;6.6564;1;0;1;0
61;Jamaica;60;2003;1.301734;1.229735483;17;289;2642628;3.250190882;3;2;5;0.04;0.23;2686.2141;3579;12809241;2643;6.985449;0.9446903;0;0;1
62;Jordan;61;1995;128.7366;139.7914951;29;841;4195000;586.4253219;4;4;8;0.18;0.06;1741.457381;4056;16451136;4195;17.598025;1.0858722;1;0;0
62;Jordan;61;2000;113.0492;113.0492;25;625;4886810;552.4714404;4;4;8;0.4;0.68;1728.552778;3829;14661241;4887;23.882769;1;0;1;0
62;Jordan;61;2003;232.5366;219.6750704;23;529;5307895;1166.035274;5;5;10;0.31;0.11;1770.197588;4046;16370116;5308;28.174864;0.9446903;0;0;1
63;Kazakhstan;62;1995;4.077555;4.427703618;57;3249;16066000;71.13548633;5;6;11;-0.83;-0.27;1377.063166;3603;12981609;16066;258.116356;1.0858722;1;0;0
63;Kazakhstan;62;2000;12.55777;12.55777;63;3969;15059200;189.1074584;5;6;11;-0.54;-0.47;1214.672094;4594;21104836;15059;226.773481;1;0;1;0
63;Kazakhstan;62;2003;18.03725;17.03961511;63;3969;14878100;253.5153936;5;6;11;-0.72;-0.8;1957.794309;6294;39614436;14878;221.354884;0.9446903;0;0;1
64;Kenya;63;1995;27.50047;29.86199586;73;5329;26689000;796.9868075;6;7;13;-0.6;-0.48;368.0764588;1063;1129969;26689;712.302721;1.0858722;1;0;0
64;Kenya;63;2000;17.01914;17.01914;77;5929;30092000;512.1399609;5;6;11;-0.68;-0.16;347.4009704;1002;1004004;30092;905.528464;1;0;1;0
64;Kenya;63;2003;15.14827;14.31042373;79;6241;31915850;456.7314838;3;3;6;-0.81;-0.47;425.5148889;983;966289;31916;1018.631056;0.9446903;0;0;1
65;Kuwait;64;1995;1.770255;1.922270691;12;144;1802000;3.463931785;5;5;10;0.32;0.16;16003.84601;18416;339149056;1802;3.247204;1.0858722;1;0;0
65;Kuwait;64;2000;1.30137;1.30137;9;81;2190000;2.8500003;5;4;9;0.21;-0.13;16905.76712;15766;248566756;2.19;4.7961;1;0;1;0
65;Kuwait;64;2003;1.84442;1.742405683;8;64;2396417;4.174804016;5;4;9;0.35;0.23;16457.58353;17073;291487329;2396;5.740816;0.9446903;0;0;1
66;Kyrgyz Republic;65;1995;62.03922;67.36666431;63;3969;4590000;309.2129892;4;4;8;-0.43;-0.16;392.9527821;1220;1488400;4.59;21.0681;1.0858722;1;0;0
66;Kyrgyz Republic;65;2000;43.70295;43.70295;60;3600;4915000;214.7999993;5;6;11;-0.63;-0.36;278.6758901;1560;2433600;4915;24.157225;1;0;1;0
66;Kyrgyz Republic;65;2003;39.12312;36.95923197;59;3481;5052000;186.7180399;5;6;11;-0.77;-0.24;358.84263;1658;2748964;5052;25.522704;0.9446903;0;0;1
67;Lao PDR;66;1995;65.85361;71.50860437;105;11025;4686000;335.0893201;6;7;13;-0.04;-1.17;408.6587102;1258;1582564;4686;21.958596;1.0858722;1;0;0
67;Lao PDR;66;2000;53.37943;53.37943;90;8100;5279000;281.790011;6;7;13;-0.76;-1.24;326.2115931;1570;2464900;5279;27.867841;1;0;1;0
67;Lao PDR;66;2003;52.76303;49.84472264;82;6724;5659834;282.1211301;6;7;13;-0.76;-1.25;348.4281915;1718;2951524;5.66;32.0356;0.9446903;0;0;1
68;Latvia;67;1995;25.23658;27.40370065;19;361;2515000;68.92030713;2;2;4;0.04;0.53;2287.402526;5742;32970564;2515;6.325225;1.0858722;1;0;0
68;Latvia;67;2000;38.39798;38.39798;10;100;2372000;91.08000856;2;1;3;0.36;0.53;3259.775717;7922;62758084;2372;5.626384;1;0;1;0
68;Latvia;67;2003;48.97027;46.26173906;10;100;2321000;107.3734964;2;1;3;0.65;0.97;4506.775119;10047;100942209;2321;5.387041;0.9446903;0;0;1
69;Lebanon;68;1995;46.73159;50.74453444;30;900;4005000;203.2318604;5;6;11;-0.18;0.22;3014.627955;4102;16826404;4005;16.040025;1.0858722;1;0;0
69;Lebanon;68;2000;46.13678;46.13678;28;784;4328000;199.6799838;5;6;11;-0.22;0.29;3833.726895;4162;17322244;4328;18.731584;1;0;1;0
69;Lebanon;68;2003;50.76852;47.96052839;27;729;4497669;215.7264567;5;6;11;-0.37;-0.49;4178.646653;4756;22619536;4498;20.232004;0.9446903;0;0;1
70;Lesotho;69;1995;68.50603;74.38879351;70;4900;1660000;123.4853972;4;4;8;0.17;-0.71;610.2599802;1746;3048516;1.66;2.7556;1.0858722;1;0;0
70;Lesotho;69;2000;21.04358;21.04358;75;5625;1744000;36.70000352;4;4;8;-0.05;-0.38;492.7309633;2161;4669921;1744;3.041536;1;0;1;0
70;Lesotho;69;2003;44.06095;41.62395207;79;6241;1792744;74.63174606;3;2;5;-0.28;-0.34;567.2692559;2366;5597956;1793;3.214849;0.9446903;0;0;1
71;Lithuania;70;1995;49.35297;53.59101811;13;169;3632000;194.6425778;2;1;3;0.06;0.38;2244.210524;6787;46063369;3632;13.191424;1.0858722;1;0;0
71;Lithuania;70;2000;28.26819;28.26819;9;81;3505000;99.08000595;2;1;3;0.36;0.52;3247.212553;8766;76842756;3505;12.285025;1;0;1;0
71;Lithuania;70;2003;107.6867;101.7305809;8;64;3454000;351.3774264;2;1;3;0.67;1.1;5021.51305;11190;125216100;3454;11.930116;0.9446903;0;0;1
72;Macedonia, FYR;71;1995;40.08647;43.52878337;23;529;1966000;85.57758811;3;4;7;-0.19;-0.16;2457.504428;5383;28976689;1966;3.865156;1.0858722;1;0;0
72;Macedonia, FYR;71;2000;124.3139;124.3139;12;144;2026000;251.8599614;3;4;7;-0.52;0.13;1770.419052;6067;36808489;2026;4.104676;1;0;1;0
72;Macedonia, FYR;71;2003;113958;107.6550172;10;100;2049000;220.5851302;3;3;6;-0.27;-0.14;2151.47153;5928;35141184;2049;4.198401;0.9446903;0;0;1
73;Madagascar;72;1995;22.64511;24.58969541;95;9025;13300000;327.042949;4;2;6;-0.64;-0.07;257.9847014;821;674041;13.3;176.89;1.0858722;1;0;0
73;Madagascar;72;2000;20.7563;20.7563;84;7056;15523000;322.2000449;4;2;6;-0.32;-0.17;249.7984281;822;675684;15523;240.963529;1;0;1;0
73;Madagascar;72;2003;31.93223;30.16606794;78;6084;16893900;509.6255518;3;3;6;-0.43;-0.06;306.1042839;764;583696;16894;285.407236;0.9446903;0;0;1
74;Malawi;73;1995;47.23019;51.28595032;133;17689;9210000;472.3436024;3;2;5;-0.69;-0.43;164.7623011;561;314721;9.21;84.8241;1.0858722;1;0;0
74;Malawi;73;2000;43.28387;43.28387;117;13689;10311000;446.2999836;3;3;6;-0.65;-0.1;169.1065852;599;358801;10311;106.316721;1;0;1;0
74;Malawi;73;2003;45.42414;42.91174444;112;12544;10962010;470.3985426;4;3;7;-0.72;-0.48;146.605942;575;330625;10962;120.165444;0.9446903;0;0;1
75;Malaysia;74;1995;5.279997;5.733401958;11;121;20609860;118.1654144;5;4;9;1.07;0.86;4680.317475;7683;59028489;20.61;424.7721;1.0858722;1;0;0
75;Malaysia;74;2000;1.949721;1.949721;8;64;23270000;45.37000767;5;5;10;0.69;0.36;3881.381177;8952;80138304;23.27;541.4929;1;0;1;0
75;Malaysia;74;2003;4.40538;4.161719754;7;49;24774250;103.1024452;4;5;9;0.98;0.5;3955.685791;8986;80748196;24774;613.751076;0.9446903;0;0;1
76;Mali;75;1995;56.27131;61.10345119;131;17161;9620000;587.8152004;3;2;5;-0.85;0.16;278.3706754;698;487204;9.62;92.5444;1.0858722;1;0;0
76;Mali;75;2000;33.1845;33.1845;124;15376;10840000;359.71998;3;2;5;-0.81;0.24;223.4750923;792;627264;10.84;117.5056;1;0;1;0
76;Mali;75;2003;45.28429;42.77962951;122;14884;11651500;498.4682431;2;2;4;-0.45;-0.33;352.3695224;947;896809;11652;135.769104;0.9446903;0;0;1
77;Malta;76;1995;24.36508;26.45736302;10;100;378000;10.00088322;1;1;2;1.27;0.22;9324.602905;14564;212110096;378;0.142884;1.0858722;1;0;0
77;Malta;76;2000;54.46154;54.46154;6;36;390000;21.2400006;1;1;2;0.86;0.45;9760.792308;18368;337383424;0.39;0.1521;1;0;1;0
77;Malta;76;2003;25.33835;23.93689346;5;25;399000;9.550820491;1;1;2;1.12;1.21;11290.15241;17020;289680400;399;0.159201;0.9446903;0;0;1
78;Mauritania;77;1995;100.1565;108.757159;99;9801;2300000;250.1414657;6;6;12;0.25;-0.65;504.3196519;1684;2835856;2.3;5.29;1.0858722;1;0;0
78;Mauritania;77;2000;80.12098;80.12098;84;7056;2645000;211.9199921;5;6;11;-0.3;-0.38;355.2476749;1666;2775556;2645;6.996025;1;0;1;0
78;Mauritania;77;2003;85.22863;80.51466004;77;5929;2847869;229.3057518;5;6;11;0.1;0.06;392.2290406;1850;3422500;2848;8.111104;0.9446903;0;0;1
79;Mauritius;78;1995;20.85562;22.64653797;20;400;1122000;25.4094156;2;1;3;0.7;0.17;3697.075467;7853;61669609;1122;1.258884;1.0858722;1;0;0
79;Mauritius;78;2000;17.22831;17.22831;17;289;1187000;20.45000397;2;1;3;0.79;0.74;3726.916596;9623;92602129;1187;1.408969;1;0;1;0
80;Mexico;79;1995;4.225465;4.588314976;30;900;91145000;418.2019685;4;4;8;-0.12;0.59;3415.838586;7629;58201641;91145;8307.411025;1.0858722;1;0;0
80;Mexico;79;2003;1.008496;0.952716389;23;529;102291000;97.45431215;2;2;4;0.09;0.5;5902.065112;8798;77404804;102291;10463.448681;0.9446903;0;0;1
81;Moldova;80;1995;15.19475;16.49955661;29;841;4339000;71.59157613;4;4;8;-0.48;0.07;438.7021289;1538;2365444;4339;18.826921;1.0858722;1;0;0
81;Moldova;80;2000;28.65124;28.65124;27;729;4278000;122.5700047;4;2;6;-1.04;-1.11;301.2559607;1290;1664100;4278;18.301284;1;0;1;0
81;Moldova;80;2003;27.51793;25.99592155;26;676;4237600;110.1707155;4;3;7;-0.66;-0.33;441.5887661;1428;2039184;4238;17.960644;0.9446903;0;0;1
82;Mongolia;81;1995;92.58901;100.539832;67;4489;2275000;228.7281178;3;2;5;-0.27;-0.57;585.4521731;1494;2232036;2275;5.175625;1.0858722;1;0;0
82;Mongolia;81;2000;90.69641;90.69641;60;3600;2398000;217.4899912;3;2;5;0.15;0.37;394.7175563;1620;2624400;2398;5.750404;1;0;1;0
82;Mongolia;81;2003;99.67058;94.15783012;56;3136;2479568;233.5114187;2;2;4;-0.32;0.04;485.5567359;1733;3003289;2.48;6.1504;0.9446903;0;0;1
83;Morocco;82;1995;18.76639;20.3779012;51;2601;26386000;537.6913011;5;5;10;-0.06;-0.01;1357.491283;3214;10329796;26386;696.220996;1.0858722;1;0;0
83;Morocco;82;2000;14.60721;14.60721;41;1681;28705000;419.2999631;4;5;9;0.02;0.32;1161.263543;3470;12040900;28705;823.977025;1;0;1;0
83;Morocco;82;2003;17.36181;16.4015335;36;1296;30112640;493.8993783;5;5;10;0.01;-0.14;1371.786211;3788;14348944;30113;906.792769;0.9446903;0;0;1
84;Mozambique;83;1995;67.26675;73.04309381;129;16641;15820000;1155.541744;4;3;7;-0.72;-0.98;158.6130502;684;467856;15.82;250.2724;1.0858722;1;0;0
84;Mozambique;83;2000;49.57323;49.57323;110;12100;17691000;877.0000119;4;3;7;-0.31;-0.05;208.2789554;881;776161;17691;312.971481;1;0;1;0
84;Mozambique;83;2003;54.96285;51.92287126;101;10201;18791420;975.6826738;4;3;7;-0.37;-0.4;217.2057433;1058;1119364;18791;353.101681;0.9446903;0;0;1
85;Namibia;84;1995;116.5006;126.5047628;55;3025;1646000;208.2268396;3;2;5;0.44;0.26;2311.000583;5647;31888609;1646;2.709316;1.0858722;1;0;0
85;Namibia;84;2000;80.6283;80.6283;50;2500;1894000;152.7100002;3;2;5;0.48;0.35;1802.294087;6035;36421225;1894;3.587236;1;0;1;0
85;Namibia;84;2003;72.52255;68.51134952;48;2304;2014546;138.0503693;3;2;5;0.2;0.35;2002.750695;5793;33558849;2015;4.060225;0.9446903;0;0;1
86;Nepal;85;1995;21.16346;22.98081287;84;7056;20439000;469.7048342;4;3;7;-0.38;-0.22;233.8194864;1180;1392400;20439;417.752721;1.0858722;1;0;0
86;Nepal;85;2000;16.90752;16.90752;69;4761;23043000;389.5999834;4;3;7;-0.62;-0.39;238.4347524;1321;1745041;23043;530.979849;1;0;1;0
86;Nepal;85;2003;18.9246;17.87788605;61;3721;24659960;440.86867;4;5;9;-0.67;-0.56;224.1371781;1341;1798281;24.66;608.1156;0.9446903;0;0;1
87;Nicaragua;86;1995;147.5102;160.1772254;41;1681;4426000;708.9443996;4;4;8;-0.46;-0.21;782.9226884;3097;9591409;4426;19.589476;1.0858722;1;0;0
87;Nicaragua;86;2000;110.7356;110.7356;34;1156;5071000;561.5402276;3;3;6;-0.71;0.32;778.8365214;3221;10374841;5071;25.715041;1;0;1;0
87;Nicaragua;86;2003;152.0493;143.6394988;30;900;5480000;787.1444534;3;3;6;-0.78;-0.28;712.8589907;3090;9548100;5.48;30.0304;0.9446903;0;0;1
88;Niger;87;1995;30.36299;32.97032675;176;30976;9036000;297.9198725;5;3;8;-0.82;-0.84;226.0187225;787;619369;9036;81.649296;1.0858722;1;0;0
88;Niger;87;2000;19.6388;19.6388;159;25281;10742000;210.9599896;4;4;8;-1.04;-0.26;167.4143549;748;559504;10742;115.390564;1;0;1;0
88;Niger;87;2003;38.53854;36.40698491;154;23716;11762250;428.2189565;4;4;8;-0.85;-0.64;219.3750422;790;624100;11762;138.344644;0.9446903;0;0;1
89;Nigeria;88;1995;1.904377;2.067910043;120;14400;111270000;230.0963505;7;7;14;-1.22;-0.97;274.3111088;848;719104;111.27;12381.0129;1.0858722;1;0;0
89;Nigeria;88;2000;1.456386;1.456386;102;10404;126910000;184.8299473;4;4;8;-1.04;-0.38;331.5589;878;770884;126.91;16106.1481;1;0;1;0
89;Nigeria;88;2003;2.327332;2.198607965;98;9604;136461000;300.0242415;4;4;8;-1.07;-1.22;398.9028364;987;974169;136461;18621.604521;0.9446903;0;0;1
90;Oman;89;1995;27.48009;29.83986578;15;225;2135000;63.70811344;6;6;12;0.79;0.61;6155.115256;11898;141562404;2135;4.558225;1.0858722;1;0;0
90;Oman;89;2000;18.93361;18.93361;12;144;2410000;45.6300001;5;6;11;0.99;0.79;8243.717842;12480;155750400;2.41;5.8081;1;0;1;0
90;Oman;89;2003;17.12693;16.17964464;10;100;2598832;42.05089642;5;6;11;0.79;0.53;7887.459822;13032;169833024;2599;6.754801;0.9446903;0;0;1
91;Pakistan;90;1995;6.731524;7.309574775;90;8100;122375000;894.5092131;5;3;8;-0.4;-0.57;538.0430867;1789;3200521;122375;14975.640625;1.0858722;1;0;0
91;Pakistan;90;2000;5.089586;5.089586;81;6561;138080000;702.7700349;5;6;11;-0.54;-0.58;531.0038384;1925;3705625;138.08;19066.0864;1;0;1;0
91;Pakistan;90;2003;7.197379;6.799294127;74;5476;148438800;1009.280421;5;6;11;-0.55;-0.91;524.0893185;1977;3908529;148439;22034.136721;0.9446903;0;0;1
92;Panama;91;1995;15.14633;16.44697868;23;529;2631000;43.27200091;3;2;5;-0.55;0.65;3263.023261;5370;28836900;2631;6.922161;1.0858722;1;0;0
92;Panama;91;2000;5.78136;5.78136;20;400;2854000;16.50000144;2;1;3;-0.03;1;4071.653819;6252;39087504;2854;8.145316;1;0;1;0
92;Panama;91;2003;10.21775;9.652609313;18;324;2984022;28.80338619;2;1;3;-0.05;0.35;4071.889094;6489;42107121;2984;8.904256;0.9446903;0;0;1
93;Papua New Guinea;92;1995;82.08849;89.13760923;72;5184;4520000;402.9019937;4;2;6;-0.41;-0.78;1105.338862;2533;6416089;4.52;20.4304;1.0858722;1;0;0
93;Papua New Guinea;92;2000;53.69006;53.69006;70;4900;5130000;275.4300078;3;2;5;-0.68;-0.61;666.6578947;2369;5612161;5.13;26.3169;1;0;1;0
93;Papua New Guinea;92;2003;40.12453;37.90525428;69;4761;5501871;208.554709;3;3;6;-0.89;-0.55;588.0367966;2456;6031936;5502;30.272004;0.9446903;0;0;1
94;Paraguay;93;1995;29.70413;32.25488899;28;784;4698000;151.5334685;3;4;7;-0.69;0.58;2083.935754;4998;24980004;4698;22.071204;1.0858722;1;0;0
94;Paraguay;93;2000;15.51803;15.51803;26;676;5270000;81.7800181;3;4;7;-1.27;-0.79;1465.221822;4674;21846276;5.27;27.7729;1;0;1;0
94;Paraguay;93;2003;8.9862;8.489175974;25;625;5643097;47.90442002;3;3;6;-1.16;-0.58;1009.431192;4483;20097289;5643;31.843449;0.9446903;0;0;1
95;Peru;94;1995;15.64165;16.9848329;46;2116;23837000;404.8674618;4;5;9;-0.18;0.65;2443.666624;4590;21068100;23837;568.202569;1.0858722;1;0;0
95;Peru;94;2000;15.46474;15.46474;32;1024;25939000;401.1398909;3;3;6;-0.27;0.59;2046.558464;4733;22401289;25939;672.831721;1;0;1;0
95;Peru;94;2003;18.4264;17.40724134;26;676;27148000;472.5717879;3;2;5;-0.52;0.18;2107.945495;4969;24690961;27148;737.013904;0.9446903;0;0;1
96;Philippines;95;1995;13.25529;14.39355091;36;1296;68341000;983.6696627;4;2;6;0.19;0.45;1177.69268;3737;13965169;68341;4670.492281;1.0858722;1;0;0
96;Philippines;95;2000;7.536819;7.536819;30;900;76626500;577.5238295;3;2;5;0.08;0.35;990.6825968;3985;15880225;76627;5871.697129;1;0;1;0
96;Philippines;95;2003;9.045477;8.545174381;27;729;81502620;696.4573476;3;2;5;-0.15;0;919.5042753;4041;16329681;81503;6642.739009;0.9446903;0;0;1
97;Poland;96;1995;98.22689;106.6618491;14;196;38587600;4115.867433;2;1;3;0.63;0.45;3825.344431;8170;66748900;38588;1489.033744;1.0858722;1;0;0
97;Poland;96;2000;36.12684;36.12684;8;64;38648000;1396.230112;2;1;3;0.38;0.62;4309.369178;10411;108388921;38648;1493.667904;1;0;1;0
97;Poland;96;2003;31.19358;29.46827245;6;36;38196000;1125.570135;2;1;3;0.56;0.64;5182.760043;11265;126900225;38196;1458.934416;0.9446903;0;0;1
98;Romania;97;1995;13.19695;14.33020113;21;441;22681000;325.0232918;3;4;7;-0.55;-0.43;1698.494475;6384;40755456;22681;514.427761;1.0858722;1;0;0
98;Romania;97;2000;19.26525;19.26525;19;361;22443000;432.3700058;2;2;4;-0.59;-0.27;1650.966448;5965;35581225;22443;503.688249;1;0;1;0
98;Romania;97;2003;27.64809;26.11888244;18;324;21744000;567.9289798;2;2;4;-0.22;-0.01;2474.295696;7176;51494976;21744;472.801536;0.9446903;0;0;1
99;Russian Federation;98;1995;10.88166;11.81609208;18;324;148141000;1750.447697;4;3;7;-0.5;-0.41;2899.220354;6314;39866596;148141;21945.755881;1.0858722;1;0;0
99;Russian Federation;98;2000;10.75092;10.75092;18;324;145555000;1564.850161;5;5;10;-0.62;-1.58;1784.26368;7086;50211396;145555;21186.258025;1;0;1;0
99;Russian Federation;98;2003;8.748963;8.265060481;16;256;143425000;1185.416299;5;5;10;-0.3;-0.43;2833.019012;8534;72829156;143425;20570.730625;0.9446903;0;0;1
100;Rwanda;99;1995;123.2602;133.8448245;124;15376;5696000;762.3801204;6;7;13;-1.26;-1.09;246.5799202;912;831744;5696;32.444416;1.0858722;1;0;0
100;Rwanda;99;2000;41.77195;41.77195;118;13924;7709000;322.0199626;6;7;13;-0.11;-0.54;234.9046569;1087;1181569;7709;59.428681;1;0;1;0
100;Rwanda;99;2003;39.49494;37.31048672;118;13924;8395000;313.221536;5;6;11;-0.64;-0.65;189.4757289;1188;1411344;8395;70.476025;0.9446903;0;0;1
101;Samoa;100;1995;262.7879;285.3540751;24;576;165000;47.08342239;2;2;4;-0.27;-0.21;1318.560792;4421;19545241;165;0.027225;1.0858722;1;0;0
101;Samoa;100;2000;159.1279;159.1279;21;441;172000;27.3699988;2;2;4;0.58;-0.03;1342.449419;4968;24681024;172;0.029584;1;0;1;0
101;Samoa;100;2003;185618;175.3515241;19;361;178000;31.21257129;2;2;4;0.08;0.17;1686.08537;5117;26183689;178;0.031684;0.9446903;0;0;1
102;Saudi Arabia;101;1995;0.9475502;1.02891842;27;729;18204840;18.73145984;7;7;14;-0.09;0.07;8497.237883;12521;156775441;18205;331.422025;1.0858722;1;0;0
102;Saudi Arabia;101;2000;1.494946;1.494946;24;576;20723150;30.97976596;7;7;14;0.06;-0.1;9093.303865;12700;161290000;20723;429.442729;1;0;1;0
102;Saudi Arabia;101;2003;0.9725543;0.918762613;22;484;22528300;20.69788415;7;7;14;-0.07;-0.14;8914.276358;12772;163123984;22528;507.510784;0.9446903;0;0;1
103;Senegal;102;1995;80.2374;87.12756206;84;7056;8298000;722.98451;5;4;9;-0.4;-0.45;585.7463956;1333;1776889;8298;68.856804;1.0858722;1;0;0
103;Senegal;102;2000;44.43442;44.43442;80;6400;9530000;423.4600226;4;3;7;0.23;-0.05;458.9018888;1481;2193361;9.53;90.8209;1;0;1;0
103;Senegal;102;2003;43.90593;41.47750618;78;6084;10239850;424.7296633;3;2;5;-0.12;-0.27;598.2410917;1557;2424249;10.24;104.8576;0.9446903;0;0;1
104;Seychelles;103;1995;172.3772;187.1796094;16;256;75300;14.03847071;3;3;6;-0.58;-1.17;7329.053315;13778;189833284;75;0.005625;1.0858722;1;0;0
104;Seychelles;103;2000;225.3174;225.3174;13;169;81130;18.2507094;3;3;6;-0.94;-1.34;7618.636756;17968;322849024;81;0.006561;1;0;1;0
104;Seychelles;103;2003;110.1161;104.0256115;11;121;83639;8.738151366;3;3;6;-0.27;-0.85;7939.014003;15844;251032336;84;0.007056;0.9446903;0;0;1
105;Sierra Leone;104;1995;45.7561;49.68527697;171;29241;4510000;224.0805991;6;7;13;-0.24;-0.45;209.6502847;630;396900;4.51;20.3401;1.0858722;1;0;0
105;Sierra Leone;104;2000;36.25522;36.25522;167;27889;5031000;182.4000118;5;4;9;-1.39;-1.05;125.9764063;464;215296;5031;25.310961;1;0;1;0
105;Sierra Leone;104;2003;55.72308;52.64105316;166;27556;5336568;280.9453007;3;4;7;-1.4;-1.15;175.2397384;716;512656;5337;28.483569;0.9446903;0;0;1
106;Singapore;105;1995;4.724901;5.130638644;4;16;3526000;18.09063186;5;5;10;2.51;2.29;25848.1037;19445;378108025;3526;12.432676;1.0858722;1;0;0
106;Singapore;105;2000;0.2762568;0.2762568;3;9;4018000;1.109999822;5;5;10;2.44;2.31;22766.5779;23610;557432100;4018;16.144324;1;0;1;0
107;Slovak Republic;106;1995;18.32504;19.8986515;11;121;5363700;106.7363666;3;2;5;0.28;0.27;3924.252689;9333;87104889;5364;28.772496;1.0858722;1;0;0
107;Slovak Republic;106;2000;20.97384;20.97384;8;64;5391000;113.0699714;2;1;3;0.28;0.37;3750.289371;11315;128029225;5391;29.062881;1;0;1;0
107;Slovak Republic;106;2003;29.65677;28.01646295;7;49;5390000;151.0087353;2;1;3;0.55;0.95;5730.007622;12658;160224964;5.39;29.0521;0.9446903;0;0;1
108;Slovenia;107;1995;26.45226;28.72377376;6;36;1990000;57.16030978;2;1;3;0.61;0.5;10926.56991;13634;185885956;1.99;3.9601;1.0858722;1;0;0
108;Slovenia;107;2000;30.59829;30.59829;5;25;1989000;60.85999881;2;1;3;0.82;0.66;9586.289593;16897;285508609;1989;3.956121;1;0;1;0
108;Slovenia;107;2003;33.04762;31.21976605;4;16;1995000;62.28343327;1;1;2;0.95;0.87;13139.88443;18474;341288676;1995;3.980025;0.9446903;0;0;1
109;Solomon Islands;108;1995;130.1362;141.3112818;25;625;367000;51.86124042;2;1;3;-1.06;-1.24;968.1905784;2459;6046681;367;0.134689;1.0858722;1;0;0
109;Solomon Islands;108;2000;163.2458;163.2458;21;441;419000;68.3999902;4;4;8;-1.04;-1.55;714.2692124;1875;3515625;419;0.175561;1;0;1;0
109;Solomon Islands;108;2003;131.8968;124.6016276;19;361;456645;56.94294381;3;3;6;-1.34;-1.68;488.3955481;1651;2725801;457;0.208849;0.9446903;0;0;1
110;South Africa;109;1995;9.941463;10.7951583;45;2025;39120000;422.3065927;2;1;3;0.33;0.27;4194.517238;9259;85729081;39.12;1530.3744;1.0858722;1;0;0
110;South Africa;109;2000;11.08023;11.08023;50;2500;44000000;487.53012;2;1;3;0.43;0.12;3019.945455;9492;90098064;44;1936;1;0;1;0
110;South Africa;109;2003;13.63512;12.8809656;53;2809;45828700;590.3217725;2;1;3;0.66;0.48;3410.177237;10008;100160064;45829;2100.297241;0.9446903;0;0;1
111;Sri Lanka;110;1995;32.12326;34.88175501;21;441;17280000;602.7567266;5;4;9;-0.3;0.34;818.7583216;2866;8213956;17.28;298.5984;1.0858722;1;0;0
111;Sri Lanka;110;2000;14.96128;14.96128;16;256;18467000;276.2899578;4;3;7;-0.32;0.32;884.3813289;3625;13140625;18467;341.030089;1;0;1;0
